0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,..,..,..,..,420,433,460,522,595,792,994,1039,1345,1375,1405,1430,1459,1496,1590,1643,1631,1640,1640,1664,
,,Number of rooms,Number of rooms,Number of rooms,Units,,..,..,..,..,..,..,..,..,..,..,..,3109,..,..,..,..,..,13438,13902,14377,14500,14238,14506,15010,15134,15134,15174,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,..,..,..,..,..,..,..,10678,11594,12504,14442,15745,18709,21040,23290,27398,28869,30379,31780,33274,33385,32629,33912,36534,36887,36887,37935,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,..,..,16.00,17.00,19.30,51.00,24.00,25.00,50.00,58.00,59.00,61.00,64.00,69.00,66.00,73.00,81.00,83.00,87.00,88.00,89.00,89.00,89.00,89.00,89.00,..,89.00,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,6.00,6.50,6.50,6.50,6.50,6.50,6.50,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,12.00,10.00,10.00,10.00,10.00,11.00,11.00,11.00,11.00,11.00,..,11.00,
ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Number of rooms,Number of rooms,Number of rooms,Units,,6266,6781,7233,7233,7783,7783,7783,7040,7731,7206,7966,9062,9062,9856,9856,9856,9984,9984,9402,11075,11075,11075,11929,11929,11929,11929,11929,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,12532,13562,14466,14466,15566,15566,15566,14080,15462,14412,15932,18124,18124,19712,19712,19712,19964,19964,18804,22150,22150,22150,23858,23858,23858,23858,23858,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,72.20,71.50,73.50,78.46,78.60,74.04,74.27,69.80,74.40,80.70,81.70,76.80,77.80,76.60,74.70,76.80,77.70,78.80,73.20,..,..,..,..,..,..,..,..,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ As at June.  Source: Cat 8635.0 Tourist Accommodation Australia, Table 1. Up to 2016:  establishments with 15 rooms or more. From 2017: establishments with 10 rooms  or more.  2/ From 2017: no longer included in the data collection."
